Māori Name,Western Name,Type,Best Visibility (Months),Cultural Significance,Navigation Use,Seasonal Marker
Matariki,Pleiades (M45),Star cluster,Pipiri — Here-turi-kōkā,"The nine stars of Matariki mark the Māori new year. Each star has a domain: Matariki (mother), Pōhutukawa (the departed), Tupuānuku (earth food), Tupuārangi (sky food), Waipunaārangi (rain), Waitī (freshwater), Waitā (ocean), Ururangi (winds), Hiwaiterangi (wishes).",Used for seasonal timing rather than navigation,Heliacal rising in Pipiri signals the new year. Clarity of stars predicts the season ahead.
Puanga / Puaka,Rigel (β Orionis),Star,Pipiri — Kohītātea,"For some iwi (particularly South Island and Whanganui), Puanga rather than Matariki signals the new year. Blue-white light.",Part of Tautoru / Orion region used for east-west orientation,Rises just before Matariki — alternative new year marker
Takurua,Sirius (α Canis Majoris),Star,Hōngongoi — Hui-tanguru,"The brightest star in the night sky. Associated with the cold season — its name is also used for winter itself (te wā o Takurua).",Bright reference point for navigation,Dominant in winter sky; its prominence marks the coldest period
Tautoru,Orion's Belt,Asterism (3 stars),Pipiri — Hui-tanguru,"Three stars in a row — a key navigational and seasonal marker. Closely associated with Matariki and Puanga.",Major navigation guide — east-west line; used for orientation at sea,Visible throughout winter and early summer
Atutahi / Autahi,Canopus (α Carinae),Star,Year-round (brightest in autumn/winter),"The 'solitary one' — stands apart from other stars. Considered an ariki (chief) and guardian star. Used to predict yearly abundance.",Second brightest star — prominent southern reference,Observed to forecast whether the coming year will be plentiful
Rehua,Antares (α Scorpii),Star,Mahuru — Hakihea,"Star of summer, healing, and abundance. Reddish colour. Associated with warmth and the arrival of warmer months. Considered a star of great mana.",Identifiable by red colour — marks eastern direction in certain seasons,Rising prominence signals approach of warmer weather
Mahutonga,Southern Cross (Crux),Constellation,Year-round,"Key navigation constellation visible year-round from Aotearoa. Used with pointer stars (Ngā Whatu / Te Punga) to find true south.",Essential for finding south — the vertical arm of the cross points toward the south celestial pole,Year-round reference; position relative to horizon indicates season
Whānui,Vega (α Lyrae),Star,Here-turi-kōkā — Haratua,"When Whānui rises with the sun in early spring, it signals the time for planting kūmara — one of the most important agricultural markers.","Bright northern star, used for orientation",Heliacal rising triggers kūmara planting season
Whakaahu,Castor & Pollux (Gemini),Stars (pair),Here-turi-kōkā — Hui-tanguru,"Twin stars used for navigation and timing of seasonal activities.",Pair used for navigation — identifying north,Seasonal timing marker
Te Ikaroa / Mangōroa,Milky Way,Galaxy band,Year-round,"Known as 'the long fish' (Te Ikaroa) or the 'long shark' (Mangōroa). The great river of stars that spans the sky.",The band itself provides broad orientation — its position indicates season and time of night,Its orientation shifts across seasons — experienced navigators read its angle